"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"372","Nonograms","Picross; Griddlers","Puzzle Game","Intermediate to Advanced","Picture logic puzzles where cells in a grid must be colored or left blank according to numerical clues to reveal a hidden image.","1","10+","Variable","Printed puzzles; Mobile app or software","Reveal the hidden picture by correctly filling in the grid.","Logical reasoning; Patience; Concentration","None","Anywhere","Low","Enhances logical thinking and pattern recognition","Mind Games"
"373","Escape Room Puzzles","None","Team Puzzle Game","Intermediate","A game where players solve a series of puzzles and riddles using clues, hints, and strategy to complete objectives within a time limit.","10","12+","1 hour","Escape room venue; Puzzle kits for home play","Solve all puzzles to 'escape' the room within the time limit.","Teamwork; Problem-solving; Critical thinking","15 minutes","Escape room facility or home setup","Low","Develops teamwork and problem-solving skills","Mind Games"
"374","Mahjong Solitaire","None","Tile-Matching Game","Beginner to Intermediate","A single-player matching game using Mahjong tiles arranged in a layered structure.","1","10+","Variable","Mahjong tiles or digital version","Remove all tiles from the board by matching pairs of free tiles.","Pattern recognition; Memory; Concentration","5 minutes","Tabletop or digital device","Low","Improves concentration and visual perception","Mind Games"
"375","Jigsaw Puzzles","None","Puzzle Game","Beginner to Advanced","Pieces of various shapes are assembled to form a complete picture.","1+","3+","Variable (depending on piece count)","Jigsaw puzzle pieces","Assemble all pieces to complete the picture.","Spatial reasoning; Patience; Fine motor skills","None","Tabletop","Low","Enhances spatial awareness and problem-solving","Mind Games"
"376","Cryptograms","None","Word Puzzle","Intermediate to Advanced","Text encrypted with a simple substitution cipher that players decode to reveal the original message.","1","12+","Variable","Printed cryptograms; Puzzle books; Online versions","Decrypt the cipher to reveal the hidden message.","Logical reasoning; Pattern recognition; Patience","None","Anywhere","Low","Develops logical thinking and understanding of cryptography basics","Mind Games"
"377","Tower of Hanoi","None","Mathematical Puzzle","Intermediate","A puzzle consisting of three rods and a number of disks of different sizes, which can slide onto any rod.","1","8+","Variable","Tower of Hanoi set (disks and rods)","Move the entire stack to another rod, following specific rules.","Problem-solving; Planning; Logical reasoning","2 minutes","Tabletop","Low","Enhances planning and sequential thinking","Mind Games"
"378","Mastermind","None","Code-Breaking Game","Beginner to Intermediate","A game where one player sets a code, and the other tries to guess it within a certain number of attempts.","2","8+","20-30 minutes","Mastermind game board; Colored pegs","Deduce the correct color and order of the hidden pegs.","Logical reasoning; Deduction; Strategy","2 minutes","Tabletop","Low","Improves deductive reasoning and strategic planning","Mind Games"
"379","KenKen","None","Math Puzzle","Intermediate to Advanced","A grid-based numerical puzzle that combines elements of Sudoku and arithmetic.","1","9+","Variable","Printed puzzles; Online or app versions","Fill the grid with numbers satisfying mathematical operations in outlined areas.","Math skills; Logical reasoning; Concentration","None","Anywhere","Low","Enhances arithmetic skills and logical thinking","Mind Games"
"380","Lumosity","None","Brain Training Games","Beginner to Advanced","A collection of games designed to improve cognitive functions like memory, attention, flexibility, and problem-solving.","1","13+","Variable","Computer or mobile device; Internet access","Improve cognitive abilities through daily exercises.","Memory; Attention; Cognitive skills","2 minutes","Anywhere","Low","Enhances various cognitive functions through targeted exercises","Mind Games"
"381","Set","None","Card Game","Beginner to Intermediate","A game of visual perception where players identify sets of cards that match specific rules.","20","6+","20 minutes","Set card deck","Collect the most sets by identifying matching cards.","Pattern recognition; Speed; Visual perception","2 minutes","Tabletop","Low","Improves pattern recognition and quick thinking","Mind Games"
"382","Lumosity's Speed Match","None","Brain Training Game","Beginner","A fast-paced game where players decide if a symbol matches the previous one, enhancing processing speed.","1","13+","Variable","Computer or mobile device; Internet access","Respond correctly and quickly to matching symbols.","Processing speed; Attention; Visual perception","2 minutes","Anywhere","Low","Improves processing speed and attention to detail","Mind Games"
"383","Mental Math Challenges","None","Math Game","Intermediate","Exercises and games that require solving math problems mentally without the aid of calculators or paper.","1+","8+","Variable","None or printed problems","Solve math problems accurately and quickly in your head.","Math skills; Concentration; Memory","None","Anywhere","Low","Enhances arithmetic skills and mental calculation ability","Mind Games"
"384","Spot the Difference","None","Visual Puzzle","Beginner","Players compare two similar images to find subtle differences between them.","1+","5+","Variable","Printed images; Books; Online versions","Identify all differences between the two images.","Attention to detail; Observation; Visual perception","None","Anywhere","Low","Improves observation skills and attention to detail","Mind Games"
"385","Brain Yoga","None","Puzzle Game","Intermediate","A collection of puzzles and brain teasers designed to stretch cognitive abilities.","1","10+","Variable","Puzzle books; Apps","Solve various puzzles to challenge your brain.","Problem-solving; Creativity; Logical reasoning","None","Anywhere","Low","Enhances cognitive flexibility and problem-solving skills","Mind Games"
"386","Tangram","None","Dissection Puzzle","Beginner to Intermediate","A puzzle consisting of seven flat shapes that are put together to form shapes.","1+","5+","Variable","Tangram set (seven geometric pieces)","Form specific shapes using all seven pieces without overlap.","Spatial reasoning; Geometry; Problem-solving","None","Tabletop","Low","Develops spatial awareness and geometric understanding","Mind Games"
"387","Memory Palaces","Method of Loci","Memory Technique","Intermediate","A mnemonic device involving visualizing familiar spatial environments to enhance recall of information.","1","12+","Variable","None","Memorize and recall information using imagined locations.","Memory; Visualization; Association","None","Anywhere","Low","Improves memory and recall through visualization techniques","Mind Games"
"388","Kakuro","Cross Sums","Math Puzzle","Intermediate to Advanced","A crossword-like puzzle that uses numbers; players fill in blanks so that the sums match the clues.","1","10+","Variable","Printed puzzles; Online or app versions","Fill the grid with numbers that add up to the given sums.","Math skills; Logical reasoning; Concentration","None","Anywhere","Low","Enhances arithmetic skills and logical thinking","Mind Games"
